Time_Point_hpi,Treatment,Cell_ID,RI,Gradient,Blebbing cells number,,,Gradient,Normalized Gradient
0,Uninfected,1,1.34033,0.00353041,,,,0.00353041,0.8048272171
0,Uninfected,2,1.34003,0.00413788,,,,0.00413788,0.9433120926
0,Uninfected,3,1.33952,0.00423118,,,,0.00423118,0.9645816844
0,Uninfected,4,1.34073,0.00542976,,,,0.00542976,1.237821848
0,Uninfected,5,1.33996,0.00580388,,,,0.00580388,1.323109947
0,Uninfected,6,1.33918,0.00426226,,,,0.00426226,0.9716669889
0,Uninfected,7,1.33901,0.00412505,,,,0.00412505,0.9403872388
0,Uninfected,8,1.3429,0.00585949,,,,0.00585949,1.335787353
0,Uninfected,9,1.33896,0.00328037,,,,0.00328037,0.7478256231
0,Uninfected,10,1.33962,0.00320516,,,,0.00320516,0.7306800069
2,Uninfected,1,1.34303,0.00399981,,,,0.00399981,0.9118362884
2,Uninfected,2,1.34281,0.00448659,,,,0.00448659,1.022807477
2,Uninfected,3,1.34131,0.00334632,,,,0.00334632,0.762860238
2,Uninfected,4,1.34113,0.00360805,,,,0.00360805,0.8225268001
2,Uninfected,5,1.34095,0.00347119,,,,0.00347119,0.7913268395
2,Uninfected,6,1.34118,0.00371646,,,,0.00371646,0.8472410171
2,Uninfected,7,1.33839,0.00186378,,,,0.00186378,0.4248857415
2,Uninfected,8,1.3386,0.00198632,,,,0.00198632,0.4528211731
2,Uninfected,9,1.33888,0.00270604,,,,0.00270604,0.61689567
2,Uninfected,10,1.33863,0.00220966,,,,0.00220966,0.5037359707
4,Uninfected,1,1.33835,0.00255311,,,,0.00255311,0.5820322331
4,Uninfected,2,1.33832,0.00217165,,,,0.00217165,0.4950708348
4,Uninfected,3,1.33855,0.00228095,,,,0.00228095,0.519987945
4,Uninfected,4,1.33827,0.00254326,,,,0.00254326,0.5797867296
4,Uninfected,5,1.34194,0.00328469,,,,0.00328469,0.7488104531
4,Uninfected,6,1.33956,0.00284976,,,,0.00284976,0.6496595042
4,Uninfected,7,1.33939,0.00271297,,,,0.00271297,0.6184755014
4,Uninfected,8,1.33936,0.00300486,,,,0.00300486,0.6850176358
4,Uninfected,9,1.33931,0.00287399,,,,0.00287399,0.6551832148
4,Uninfected,10,1.33963,0.00328899,,,,0.00328899,0.7497907236
6,Uninfected,1,1.33959,0.0031544,,,,0.0031544,0.7191082547
6,Uninfected,2,1.33927,0.00291648,,,,0.00291648,0.6648696559
6,Uninfected,3,1.33943,0.0030213,,,,0.0030213,0.6887654609
6,Uninfected,4,1.33995,0.00311694,,,,0.00311694,0.7105685022
6,Uninfected,5,1.33982,0.00304641,,,,0.00304641,0.6944897851
6,Uninfected,6,1.3404,0.00323735,,,,0.00323735,0.738018358
6,Uninfected,7,1.33948,0.00264328,,,,0.00264328,0.6025882791
6,Uninfected,8,1.34012,0.0029908,,,,0.0029908,0.6818123789
6,Uninfected,9,1.33967,0.00304261,,,,0.00304261,0.6936234995
6,Uninfected,10,1.33908,0.0025062,,,,0.0025062,0.5713381651
8,Uninfected,1,1.33965,0.00349445,,,,0.00349445,0.7966294194
8,Uninfected,2,1.34,0.00382208,,,,0.00382208,0.871319198
8,Uninfected,3,1.34006,0.00325674,,,,0.00325674,0.7424386943
8,Uninfected,4,1.33984,0.00300459,,,,0.00300459,0.6849560839
8,Uninfected,5,1.34151,0.00425875,,,,0.00425875,0.9708668145
8,Uninfected,6,1.33917,0.00277639,,,,0.00277639,0.6329333525
8,Uninfected,7,1.33998,0.00287218,,,,0.00287218,0.6547705893
8,Uninfected,8,1.33998,0.00272422,,,,0.00272422,0.6210401628
8,Uninfected,9,1.3393,0.00241182,,,,0.00241182,0.5498223659
8,Uninfected,10,1.34024,0.00313501,,,,0.00313501,0.7146879183
0,VACV,1,1.33801,0.00215195,0,,0,0.00215195,0.8309794162
0,VACV,2,1.34178,0.00231903,0,,,0.00231903,0.8954976628
